FrameworkName,D_is,D_fs,D_isfs,ASA_m^2/cm^3,ASA_m^2/g,NASA_m^2/cm^3,NASA_m^2/g,Unitcell_volume,Density,AV_Volume_fraction,AV_cm^3/g,NAV_Volume_fraction,NAV_cm^3/g,n_pockets
VEXVAW,9.7712,5.86323,9.7712,2274.97,2941.93,0.0,0.0,4876.38,0.773292,0.28272,0.365606,0.0,0.0,0
WONZOP,11.00202,10.33195,11.00202,2163.36,3317.57,0.0,0.0,2892.21,0.652093,0.36695,0.562727,0.0,0.0,0
VEJYIT,6.4229,5.28654,6.4229,2350.08,2529.76,0.0,0.0,5706.62,0.928973,0.191595,0.206244,0.0,0.0,0
KEXKEF,4.72338,2.79989,4.49578,0.0,0.0,1304.36,1050.73,1426.31,1.24139,0.0,0.0,0.044705,0.0360122,3
FUTDII,10.10625,8.60837,10.10625,1683.28,1931.18,0.0,0.0,3509.89,0.871633,0.273075,0.313291,0.0,0.0,0
HIHGOW,7.39427,4.75889,7.07554,2193.42,2394.85,0.0,0.0,6712.2,0.915891,0.183805,0.200684,0.0,0.0,0
HAJMEL,5.95786,3.62462,5.95786,537.821,404.301,0.0,0.0,2061.54,1.33025,0.03102,0.0233189,0.0,0.0,0
OCIZIL,4.80232,3.72491,4.79269,693.657,518.193,0.0,0.0,6033.2,1.33861,0.02684,0.0200507,0.0,0.0,0
MECWEX,11.43189,3.1317,11.43189,1645.95,1786.94,0.0,0.0,2461.71,0.921103,0.21819,0.236879,0.0,0.0,0
UNIGEE,14.93052,7.82687,14.93052,2239.15,3697.73,0.0,0.0,4222.5,0.605547,0.49468,0.816914,0.0,0.0,0
GUYMAP,7.04894,5.20916,7.04894,1916.15,1779.78,0.0,0.0,2441.58,1.07662,0.169055,0.157023,0.0,0.0,0
PUQXUV,5.37589,5.08075,5.29758,874.238,581.417,0.0,0.0,3019.02,1.50363,0.04005,0.0266355,0.0,0.0,0
MIBQAR,15.10314,7.94876,15.10314,2234.41,3792.05,0.0,0.0,4339.39,0.589235,0.50336,0.854261,0.0,0.0,0
FIPWUY,4.7784,4.24794,4.7784,1260.84,952.837,0.0,0.0,726.863,1.32324,0.056605,0.0427774,0.0,0.0,0
PUPNAQ,3.58947,2.69874,3.57729,0.0,0.0,320.476,222.757,1896.24,1.43868,0.0,0.0,0.00353,0.00245363,4
ECASAD,4.09039,3.62411,4.09039,855.677,528.509,0.0,0.0,982.399,1.61904,0.023945,0.0147896,0.0,0.0,0
ODODES,6.13875,4.52515,6.13614,2164.81,2179.04,0.0,0.0,4062.36,0.993468,0.138015,0.138923,0.0,0.0,0
ACOLIP,4.91034,3.57647,4.78103,1810.94,1725.55,0.0,0.0,1527.86,1.04949,0.062495,0.0595482,0.0,0.0,0
LURGEL,9.80097,6.59404,9.39638,2555.25,4801.86,0.0,0.0,3007.3,0.532137,0.39551,0.743248,0.0,0.0,0
XINFUW,6.65291,5.08872,6.45934,2896.4,3443.92,0.0,0.0,3625.16,0.841018,0.25583,0.304191,0.0,0.0,0
PIHNUQ,4.34321,3.63294,4.34321,654.3,447.682,0.0,0.0,1598.14,1.46153,0.022155,0.0151588,0.0,0.0,0
LOJFUL,11.50657,8.6404,11.49116,2216.42,3634.17,0.0,0.0,5157.83,0.609882,0.36508,0.598607,0.0,0.0,0
TADCAE,4.68506,3.03191,4.68506,865.33,535.386,0.0,0.0,3780.62,1.61627,0.02172,0.0134383,0.0,0.0,0
DAXHUH01,7.57949,6.81104,7.5728,2455.63,2758.41,0.0,0.0,1663.98,0.890235,0.24364,0.273681,0.0,0.0,0
AMILUE,11.39418,11.07263,11.39418,1428.22,1453.86,4.23092,4.30687,4728.39,0.982365,0.243735,0.24811,2.5e-05,2.54488e-05,4
BUVYIB,10.88108,8.55613,10.68061,2561.72,3648.82,0.0,0.0,3550.0,0.702067,0.263585,0.375441,0.0,0.0,0
KUNWEW,5.28786,3.80654,5.25653,1016.51,690.997,0.0,0.0,2782.18,1.47108,0.048895,0.0332375,0.0,0.0,0
WALCIX,4.16345,2.98665,4.15683,1072.45,626.713,0.0,0.0,2988.35,1.71123,0.02459,0.0143698,0.0,0.0,0
EGELUY01,7.46021,7.04888,7.46021,1974.97,2092.81,0.0,0.0,732.372,0.943692,0.20229,0.21436,0.0,0.0,0
KAXQIL,5.12409,3.76819,5.12409,672.731,433.395,0.0,0.0,1473.53,1.55224,0.030175,0.0194397,0.0,0.0,0
LADHEF,6.83841,4.27158,6.83841,2067.56,1781.5,0.0,0.0,2899.99,1.16057,0.163525,0.1409,0.0,0.0,0
ZNGLUD01,3.16473,2.59565,3.12072,0.0,0.0,203.445,120.734,829.761,1.68506,0.0,0.0,0.00139,0.000824895,4
TENLIJ,5.37557,4.41973,5.36241,1751.38,1530.64,0.0,0.0,3966.15,1.14422,0.0929,0.0811907,0.0,0.0,0
MIKJAR,5.99502,4.84665,5.99502,981.554,500.7,0.0,0.0,2198.39,1.96036,0.056235,0.028686,0.0,0.0,0
KAYBIX,5.6946,5.49039,5.6894,1617.81,1332.2,0.0,0.0,1122.26,1.21439,0.120585,0.0992971,0.0,0.0,0
NIKYUC,4.9018,3.64376,4.89963,1217.15,702.864,0.0,0.0,1678.61,1.7317,0.048635,0.0280851,0.0,0.0,0
GIMVAA,3.80885,2.6465,3.67034,0.0,0.0,791.446,472.277,1327.62,1.67581,0.0,0.0,0.01539,0.00918361,4
UVUQAE,5.89761,4.70396,5.31275,1801.93,1575.43,0.0,0.0,4421.21,1.14377,0.110665,0.0967547,0.0,0.0,0
CUTKOS,5.45963,4.13818,5.45497,1257.8,1059.97,57.1628,48.1723,3372.95,1.18663,0.060985,0.0513933,0.00056,0.000471923,7
PEPBAO,5.10254,3.95909,5.10254,1131.49,794.52,0.0,0.0,2280.75,1.42412,0.05164,0.036261,0.0,0.0,0
SUJQOE,4.04841,2.83947,4.00192,983.784,816.942,0.0,0.0,4276.98,1.20423,0.02405,0.0199713,0.0,0.0,0
CISMAT01,4.08571,2.53592,3.61635,0.0,0.0,710.818,459.135,639.145,1.54817,0.0,0.0,0.01607,0.01038,2
IBICAZ,9.97802,9.8426,9.97802,1185.06,1105.16,0.0,0.0,2862.66,1.0723,0.197515,0.184197,0.0,0.0,0
HIFGIO,12.5848,12.05657,12.5848,1791.1,2449.59,0.0,0.0,2082.31,0.731183,0.3696,0.505482,0.0,0.0,0
BENXOJ,4.11666,3.47483,4.11666,1283.03,885.788,0.0,0.0,2928.2,1.44846,0.031725,0.0219026,0.0,0.0,0
XEXLUJ,8.72919,8.14175,8.68787,1580.34,1409.35,0.0,0.0,2521.45,1.12133,0.19695,0.17564,0.0,0.0,0
CUYVOI,4.52428,2.63151,4.51986,0.0,0.0,847.738,594.832,3343.05,1.42517,0.0,0.0,0.020185,0.0141632,5
CEGWER,4.43901,3.87534,4.42525,961.215,658.009,0.0,0.0,1401.33,1.46079,0.03783,0.0258969,0.0,0.0,0
BONWAD,3.83514,2.72512,3.83347,0.0,0.0,553.767,288.619,1297.81,1.91868,0.0,0.0,0.00891,0.00464383,5
RIFDUG01,13.00544,6.82625,13.00544,2319.38,2673.55,0.0,0.0,4673.5,0.86753,0.36277,0.418164,0.0,0.0,0
